path,text to play,options,description
engof.wav,Motor aus,,
engon.wav,Motor an,,
spit.wav,Standard Pitch,,
auro.wav,Autorotation,,
lrpm.wav,Niedrige Drehzahl,,
mrpm.wav,Mittlere Drehzahl,,
hrpm.wav,Hohe Drehzahl,,
3Dp.wav,3 D Pitch,,
teuer.wav,Das könnte teuer werden!,,
lowbat.wav,Niedrige Batteriespannung,,
critbat.wav,Kritische Batteriespannung,,
butterfly-an.wav,Butterfly an,,
butterfly-aus.wav,Butterfly aus,,
klappen-oben.wav,Klappen oben,,
klappen-eingefahren.wav,Klappen eingefahren,,
klappen-mitte.wav,Klappen mittelstellung,,
klappen-voll.wav,Klappen voll ausgefahren,,
klappen-startstellung.wav,Klappen Startstellung,,
klappen-landestellung.wav,Klappen Landestellung,,
klappen-start.wav,Klappen Start,,
klappen-landung.wav,Klappen Landung,,
fahrwerk-eingefahren.wav,Fahrwerk eingefahren,,
fahrwerk-ausgefahren.wav,Fahrwerk ausgefahren,,
fahrwerk-eingeklappt.wav,Fahrwerk eingklappt,,
fahrwerk-ausgeklappt.wav,Fahrwerk ausgeklappt,,
idle-up-1.wav,Eidel Up 1,,
idle-up-2.wav,Eidel Up 2,,
idle-up-3.wav,Eidel Up 3,,
niedrige-drehzahl.wav,Niedrige Drehzahl,,
mittlere-drehzahl.wav,Mittlere Drehzahl,,
hohe-drehzahl.wav,Hohe Drehzahl,,
niedrige-rate.wav,Niedrige Rate,,
mittlere-rate.wav,Mittlere Rate,,
hohe-rate.wav,Hohe Rate,,
niedrige-ausschlage.wav,Niedrige Ausschläge,,
mittlere-ausschlage.wav,Mittlere Ausschläge,,
hohe-ausschlage.wav,Hohe Ausschläge,,
normale-ausschlage.wav,Normale Ausschläge,,
3d-ausschlage.wav,3 D Ausschläge,,
3d-pitch.wav,3 D Pitch,,
standard-pitch.wav,Standard Pitch,,
normal-pitch.wav,Normal Pitch,,
teuer-werden.wav,Das könnte teuer werden!,,
rettung.wav,Rettung,,
normaler-modus.wav,Normaler Modus,,
stabilisierter-modus.wav,Stabilisierter Modus,,
selbst-ausrichtender-modus.wav,Selbst ausrichtender Modus,,
motor-ein.wav,Motor ein,,
motor-aus.wav,Motor aus,,
motor-an.wav,Motor an,,
batteriespannung-niedrig.wav,Batteriespannung niedrig,,
batteriespannung-kritisch.wav,Batteriespannung kritisch!,,
kapazitat-niedrig.wav,Kapazität niedrig,,
kapazitat-kritisch.wav,Kapazität kritisch,,
